title,subject,length,journal_ID
AUfNCgRmVvoxOdwzVSqxYqvLtTAmGFKzQJvTNxLLsiSLDLLInl,phys,3187,45
ssngAGzZCTWkaXqBkuPBniJFbTkCIiMNZVbdxJVUfSdPVfcAiP,phys,2933,41
ekFxEiIIasejgNztiyjiqxSnyWTbmHgQmDIBcZXbwwhcfUSIsT,phys,6756,8
QevpetUttXhswuHwNwjAyXthYecJLVMZkUSYUkCcattKNbsOVc,geom,5984,26
MnAwrwaEgNBqrgXvUNgXNgCMFXpWlCwaeKjyqLolpgtzlrKNpU,cs,4672,37
IXLwJJVdAnkPDRTRpqsvcMtjWScpGGMmazBnoyFdHdcLxLoZjP,math,5064,28
kBtHPFRyBOluYFhwmqYOmoAOihxqnMuJyJNtrleUipVawHfmPM,phys,4767,46
etevUMMtnsrKMuqjvKgOpxQOjhUIIFCSdoMlijcSnDdrHlvQVv,geom,5466,48
BOAGBtFErJECsbaEJrZZUsoOxhgCFxneMNpDVpUSLNguvVHpOP,engl,7727,15
XIFRoSNqNAdIjmnDyMEAfJktxfOgLrNAJpROKlPwmnLBPoZtzi,chem,4799,22
AgBrPVvpVfARzZLIIQDragfMKMNQLLSQpITmmKEFurYIxjqvEW,chem,4760,25
uSeJTyJOKiqgKDNIVsQmobvHAgKrKNjEiReyfaREIEjpJVOdwo,biol,2873,38
IJWNlMrgDBLZFmdqkeWTuEQfxdVCKVNMHrERLVUdCcSYcViwKT,phys,5978,19
AlYLPkLTgKOjBIcxPwqLTsUwXkWxBhnXdimtUErueixbGYRcoD,stat,4018,26
byXvMXMOHpPTKxVAQwissdfaSllesHiNBMTOxiBiBRgBImSDoA,geom,3794,32
pChHydqfTgBHygSnbFsnZfwzTbnZPBvBraiJYwRkdAzoGYSeYR,math,1047,35
mMpOVGCdHUhxgzlhOdfsqyzapCZSftzMmLvzTGwCLBQeRCRlOU,cs,1224,4
BzdbvluTFLOgfLUAwVuXXmitPectVOywnkVDNfqUCOussBkrPK,engl,6468,10
DoeXxyCBxyUXfrZQApFYzaXZmHRpxTCXxLhUKUZPVdKxrXZhVE,biol,5250,1
TIDQFKTupPTbOwxJfseEwyAMMIxECgGcQySOsmpNZvjBnoVlfE,phys,6308,7
dVzDRxTypgJXVyDpkqjermuUeMtOJLLfQcmoEmjUknHlWmRSZe,phys,6627,15
PQMiWnPdxtYikzCuxnjrWQBBxMWbRQCqfeEyGBSCOJuZTbpeoU,stat,1908,17
hOKFAAqGULrKdqayYPdiShOhexBFXsofTVBGwztFZCpNcWIYoz,math,1351,44
HVnSmZlfAtxsVTPZNtFSYXsmyrNeUeghgdQTtiyTTGHWQYLCoO,chem,3799,19
efrLuSPboEELUZxmpDjwBhSxFMgEXHGdkxkamVaXZrfNcGsDlj,math,3248,13
ZhshRaRXnrqetwHQSVlZwAkyFtXGVAnLNurUfsXuZbjQZaaTpL,stat,1398,28
wNYmxkAsZDawynxPhcdsEVTGiSfXsYKKkibtrJCXgFRBRLWukn,cs,7022,6
nHyyCiQTpkopwDWrjdIRlCgnVickVmfZWmmonYSffCGXXHBUFJ,engl,4107,44
IWoZOnECQbfmzztYLqxDRlVTvikvLTwiqCnxzetokbRyGaLTkE,cs,1244,26
zGGLzBHHVEGAbhsZcphEFrfkRsiFDcmCHzRQARVIyKseTVvpME,stat,5746,11
rTZruqcIuGjbUjOfJQRMOqLJLXLccZFTXrEjVuTcspsXvYcZtB,engl,3926,38
SQJqjaBmSbGUxINeXFQGcUiFelcYmzgaxSAfFztOGnCQFAvVXH,engl,3204,13
BovSXbLWgymeKeNqrGLUUiGooyHqGXOogevYsHxBEjCUqATkQp,stat,2387,24
lOpouGWpNUafAbNwUbyJFIBIKctufLQBkWygYCYZHsOkUXgzNQ,math,6901,9
