ID1,ID2
956,1469
271,612
68,283
971,1777
313,1777
265,797
19,1330
610,1771
114,1567
322,550
100,1669
415,741
148,397
535,1597
506,859
542,324
263,909
22,1978
294,222
760,1715
660,545
786,684
995,269
456,1681
855,1952
454,1608
127,1213
407,1038
465,454
1000,1552
72,1691
10,813
889,1721
519,690
636,1275
601,1254
665,515
250,273
334,910
64,1049
126,1927
451,1495
917,736
172,582
956,664
954,1557
501,269
933,680
195,751
592,387
392,1265
748,900
495,454
211,695
187,109
589,89
663,38
804,1209
881,1429
633,1327
631,500
8,1275
736,516
863,1789
725,1855
668,1321
793,269
624,460
304,1044
352,526
734,628
489,43
890,1141
946,1450
211,1984
913,1502
605,1157
314,1173
775,1568
384,1912
117,1568
869,1203
287,1979
356,1584
282,1635
433,1804
813,1271
546,927
522,341
709,167
845,1748
857,819
958,871
655,870
691,1281
393,1624
773,1091
869,1553
463,111
196,521
229,469
447,1860
426,983
438,54
142,1224
930,516
749,1636
663,172
124,1584
162,1876
855,342
535,926
753,65
541,1872
469,306
873,921
272,1455
464,1625
115,1471
550,645
987,1400
658,178
157,1882
439,814
169,953
802,1620
114,1246
604,881
740,1708
428,655
168,1482
737,1410
637,240
819,1974
79,1410
984,1287
621,1235
830,820
118,614
498,81
902,696
606,1866
556,59
353,1420
234,8
812,1934
273,902
30,1898
744,487
47,1313
71,1707
943,1636
881,758
475,70
15,1775
3,260
841,1359
863,1118
440,1015
240,1893
522,825
954,1236
559,1646
595,1303
528,81
956,1282
686,1421
118,1903
701,9
417,250
613,1882
852,178
60,1144
328,1898
228,728
586,436
620,20
30,743
396,312
662,431
94,1667
376,599
106,738
794,358
565,1252
885,476
663,1595
205,717
358,959
131,1734
506,1611
812,1129
528,1370
125,199
660,1297
677,712
30,1093
718,713
904,1657
451,369
162,266
900,195
824,1139
502,1088
507,1432
70,1431
999,1894
954,431
675,1016
381,569
86,621
237,790
727,425
522,959
188,1837
257,1442
916,1078
687,1026
936,10
592,200
745,442
234,492
363,148
93,287
281,338
163,1780
528,215
249,800
429,1899
157,1211
21,384
174,626
152,867
554,847
229,1087
915,72
3,744
841,1843
77,693
791,36
777,138
154,913
591,914
255,1719
119,1858
62,1324
831,374
576,1545
361,1391
340,1268
448,47
434,149
988,1489
620,1093
740,1387
943,26
652,1540
750,385
528,1504
507,627
465,401
332,811
586,1859
488,1324
118,293
214,1
902,375
716,1151
487,1853
946,1613
984,1905
843,734
299,1802
746,801
4,164
995,1505
532,283
291,1160
707,284
349,576
829,1967
473,642
932,402
199,1571
940,1017
302,6
641,226
391,1741
465,1690
232,930
631,447
762,1684
815,756
837,515
496,222
892,976
687,1510
224,288
6,1526
419,1695
152,1351
814,504
671,1916
609,1038
673,299
144,709
930,1618
240,417
776,1151
826,514
867,515
924,1049
946,808
700,1341
559,170
499,119
734,925
37,1751
808,874
503,238
71,581
625,1921
981,802
958,818
247,1746
696,1572
656,453
90,1762
921,1690
573,418
253,1002
48,1536
297,520
789,982
927,1855
865,977
201,1751
610,458
424,1234
457,1182
818,407
308,1059
721,474
363,766
896,1229
720,1003
288,1346
802,1567
518,1808
72,967
421,1875
452,1188
870,947
687,1994
704,1409
437,1065
771,187
783,12
487,1182
323,1717
975,182
961,284
460,1988
830,767
28,79
150,1008
969,1865
520,541
342,1178
17,1418
466,1244
920,660
63,73
104,74
257,316
997,880
787,1070
69,1019
181,1260
566,1825
895,603
979,1240
220,1188
423,1547
13,895
875,136
200,721
840,115
217,890
370,1132
91,1717
848,1696
447,1352
605,1938
242,1886
266,28
18,680
105,834
893,126
43,1676
330,952
325,608
41,849
228,675
625,311
747,1240
35,1034
363,311
922,1995
917,1651
831,187
707,1841
311,1841
951,481
679,547
443,1768
808,203
887,496
553,1374
123,100
734,254
849,204
926,424
224,906
921,80
973,1933
374,850
453,1143
396,609
661,1846
831,537
525,1019
481,158
118,106
584,1599
262,1548
680,1307
922,840
225,1666
543,255
328,101
756,1302
412,1492
150,1492
183,1440
582,1903
632,1266
995,1318
9,321
365,922
444,1215
41,44
538,850
918,1071
369,1795
656,1071
861,1503
768,1312
900,1431
196,1086
576,553
5,1518
232,743
882,1791
827,1892
135,810
200,1205
665,1564
267,737
812,271
595,1734
232,1682
550,271
968,784
715,338
288,1025
484,1903
338,388
116,1507
518,1487
988,1436
688,1144
839,1313
428,281
887,41
646,1672
964,261
396,743
497,1549
487,861
640,1103
927,379
220,517
905,620
430,327
753,980
534,1616
959,856
625,1734
711,754
31,995
187,1508
538,45
412,1626
491,1919
30,1524
673,1401
621,1211
712,1329
433,1914
445,985
383,107
118,590
613,569
826,1616
425,518
136,415
929,51
638,1565
956,908
230,50
808,1976
632,1750
217,1508
671,924
461,1868
464,1385
970,991
89,10
689,1503
441,1401
811,180
35,713
117,523
967,693
604,641
8,1519
72,780
77,1124
359,810
777,569
37,759
493,810
92,466
964,395
293,190
69,482
886,704
946,755
889,221
753,1114
229,1868
699,1817
363,1868
728,303
998,164
889,1160
624,1643
223,1299
567,1109
828,1638
258,1293
349,657
316,709
402,483
863,878
981,1099
618,1047
432,1823
540,1356
158,1062
242,1699
581,1165
140,1422
219,1715
4,595
310,1833
265,370
688,473
464,1519
115,1365
937,1931
285,1022
572,298
596,1638
534,6
398,899
2,899
759,124
699,73
282,724
225,190
20,724
801,1289
457,1479
753,309
116,1186
534,945
873,1165
250,1940
382,1305
795,1474
375,134
175,1766
127,786
244,1371
268,1957
588,1181
149,545
47,268
866,1125
967,1177
561,489
604,1125
416,1828
438,1587
846,658
789,124
882,315
197,212
541,22
596,483
618,242
33,1309
805,68
230,1823
338,1356
677,822
23,32
145,961
859,304
976,889
580,889
1000,1475
690,495
841,664
156,561
242,1833
706,247
145,1900
100,437
62,145
310,1967
786,1896
3,504
827,1705
880,777
682,792
912,1254
977,1649
538,1013
230,668
973,941
345,1372
25,1956
739,545
147,633
200,1957
90,99
652,1300
585,78
478,1901
72,459
471,730
586,680
302,921
646,1485
18,1916
470,505
480,1947
945,1552
260,1449
251,1895
965,484
378,1670
777,1187
445,448
183,448
916,33
637,618
432,1152
36,1152
318,84
239,1511
125,443
194,48
997,372
656,79
97,115
186,1096
878,680
205,1900
241,1557
380,1901
745,336
693,900
426,556
167,1793
602,1721
289,1224
8,982
610,84
462,1152
467,1496
61,808
326,325
252,1342
902,1424
556,787
644,634
740,342
