title,subject,length,journal_ID
rjdYfhRIEczDVghMqcMCPOfQUJJEEGNswMggjnotISgmFsLpHZ,biol,7435,6
KLHGBbBuOPiUlrzmoIBpHhsTkeGhIvveuLEEgHMmmyrZAFqtAx,engl,4144,1
SopPwTUYRAubNqldbonAgzwizPHMRJtpFkYxvfRDjAYbHpXdSt,biol,4986,6
XjIxcFMpkeaKDxmIJYRqUzkPxbrQgdxnHuXAFQWnavnGorfFSY,stat,6036,20
prdCnHgRwPUARCXbUspfpQrtNWigeJFYAdYqVlDGhbCQJxRNML,chem,1384,12
BkaoDuzqFvYyTcdvBPAOZnnBazlXjGeYIDVAaUQZxEZFqbjmHa,engl,5935,12
KocenCrYSUJjCnWDVChRJwnBaGbllqLBAZefNJvPjCBDTSldFI,engl,1676,11
zqEOfGAeuNtUlKNkppqjibFnejFPEIVYdMmMtHdLstzcJFHAFs,phys,6032,14
CtKZVkERTBHRJUYhzlYBbtVhKVqqpNOHoTfEwzEWixmXMIdjZj,cs,7466,5
VMEhgDyWRKsqkbFQZNAIXPxGtSffLAxUNcXLgeEiEAYQOUXNEH,geom,4271,13
mtmPZErJBtJQshgTsucMzqLqjVEnibKRWBqbanIRauzUHGabeN,phys,4691,18
caguqQnpaMJJZIyyTEFbsGfGrEHnxXDQstCOYXelfsJDFCQIXS,chem,3634,3
lHYfnDvrfPAJqpVGkbtRkPnnZZIaiMLDMwdlFPcUsIJGgRnVib,chem,5498,12
LpEyvzyBowExmjoaZApnUuzthHSidAvqywPGorHTAxivEbrjrU,biol,3217,17
tHAFAEOgfpDCtyABYkfQVABrZIihILUMOHYprWKRTkdNETRqwA,biol,2184,3
LmhqkINKxMfcPxfzZXfgOqpBLsmNIwzXiTGUZsfoQcUwXIDTBx,biol,6386,10
VZjxLqxBvTdnCIyieqYfoBsSHexoNsmMHbBAIeKlPiGtPVbIha,math,2038,11
phCQSCJYZdYGpPqqTQZLsZfIgvVRLHEaQtetIHgjgsJQCcHPSZ,engl,1026,8
GQfwxWzcQDBNBvuInWwjtGUFiesTxlyFRYCcEhXNzbtYfepyfi,cs,1006,15
AimKQbuKtLgVeDoytympYOdQcdClKYTwfbYjxCThtrMVCHukeg,math,1209,11
rxRUCxOokkXNsbRdCwqXeUSQwCAoneZoeKDyYdHbjkEeKkoVxr,engl,3772,3
kyyuwpHOduOufXBBszRVLLIAqswekAqpfMsVSGLUQPtoAiLCbc,engl,6281,2
hSrpsaEVZkHPLWfdVPUiFSgGjATqlCAHXFiyDySMxEAcdAAjzP,chem,3969,15
duPielEpbdDMEYBIBMRPNECgrTOThXoZEEioZffFzKgtZBgUal,stat,6916,9
hqAVHGLWyflCQQUIlAVxIPKbxakwZQiQYrzveRJmaKVrfOwowY,chem,1105,14
lXoVUvfTjKAiUkAxresUIixjymOuhetQEbTTGFrzQQlJGInxRp,chem,6183,8
eHQAbyZxXlzkuMTSDoxQiLZHnlhSWuGRYAAoHANLmTUapkHDKb,biol,2132,9
PouRApbiRMiTniiSpDFRWDFsiwxwXCBiHzyeFsUOAFWzGFzkPy,math,1498,3
dIUSNZgiFdnwPqFnWumjSWLblxkOSlUelxqPzxWueAYILUucrg,phys,6334,16
etQfZAdzvaSJcfajTVibRxjqnTsUWGkJdAOCfQNFcQwiDKnvor,biol,2275,4
xBUhfxompZTCRHevftLSRyrJkKVuemTCirCLQXrfRhBZubeRPs,biol,7749,15
SdsXGYctZPoYPjDplkCPEKZzdhxpPeYycAmEVWwhFYPLRDPeoG,geom,2395,3
APtSwhJlPMXFqkKXznZcJakwOiapThXaDyqbhPQazbruHzKruP,cs,1093,20
lHMuVZbyLHTqsHdBYYwYSmTwKTAvTQSgFqISkgKZotdkHoKHAa,math,3584,15
qFPaoUyazzQpkxTUpzInFnfGbkALLcZQstygvgEwXNiPJvDdQm,cs,4643,13
ZBIyMtwZkzByDXBtlcdcaKzfTykiNcyeQxEXcYxWWmmayQihgF,cs,7178,6
EdGfITCRFmvASWSLmwflDeBohyYZVhsRqEsZNRDFBnJtHFFGNt,stat,7064,6
KfVZLmgKPlUjegbuSXzwgWTmPxoGrFwUmOFVRoNOcxvgIqQwuy,cs,1084,12
YJkdVEkFFxKHJmLobwbPIcdDsnIadVEPtgsDlcXlecjczmTlGX,biol,3403,12
hgNslTHkxnUiXtCwMbUHHsiQJNYKUXZBwRkBowTAzIIFNaLOqR,math,3901,16
UolSxCKeUoIgVWNjfQOMZqUjplpWupTefVojzhUwMhCtRKqute,math,1004,3
wOyeNicKDDQVPdiNncykSKxooHsWDktnNdLWlgbwJmoAesjxzR,cs,3252,19
qUhLcchorYTgwQEfhDjwrJjAGvrODyXijEMAiCKvsAELhEoPvk,geom,2228,14
VBPvzHAOOljnxegoTIYtzDjzaSbULvIfdMeYqZDUtYmJWToIGN,math,1104,17
oVGbKrixUDVGPrZavKkeIKpCXCfTsEEPgfgzNieGGwBfdNuMVG,stat,2354,1
IicDEPAVCLkaACKwbVKqjmPfhyywzTvfRUScZwERsxvEjLRSml,math,1127,14
dVfMVjDUXMOGRVnzFPOLudYLKlCflASWSeRNKgbSKhygOhYYFR,biol,7124,14
BnCpYCHuEvyudHLzXvJdmZenEgpHhpLcYTGfBZCVCTtGxBddnQ,engl,7639,5
HoUYoVpwsOiNNKIKmhDLeuHXTmLeEkDvmQvcenlXLEhzmaKyIr,cs,1076,9
dlhgrEZhhQuFUUXUjKXWKkRmPwDwcnEKrowVrWOJYtmJpjPpzq,engl,1409,6
