ID1,ID2
1904,225
1078,183
1983,289
701,196
1284,251
1325,23
1531,128
1140,243
1434,195
955,197
303,42
127,45
784,86
844,137
1059,25
439,88
1600,120
1323,71
1256,81
538,30
428,158
97,287
532,215
565,163
1337,154
289,228
1978,187
1735,200
131,56
1953,130
860,202
511,48
4,217
821,210
298,169
1927,77
242,45
173,174
1816,246
920,108
918,35
615,226
1501,90
1451,269
1077,28
325,164
1786,259
705,156
1739,147
1684,211
1389,34
319,120
687,287
313,46
1154,167
307,231
1630,96
389,41
1401,44
931,95
1803,24
1822,37
880,278
1183,50
2000,80
184,53
560,44
1625,139
288,110
100,59
788,167
977,103
1389,276
38,120
1708,29
464,228
1639,158
1075,116
901,229
568,285
1184,288
917,173
922,288
214,201
1549,157
88,62
38,241
299,16
1757,42
554,242
1842,86
586,194
1484,112
1021,122
322,121
308,186
1657,40
1304,181
970,76
1116,130
835,117
1009,4
1859,174
1366,278
956,114
1164,292
1627,53
1035,178
570,78
759,14
1717,212
588,132
1708,163
1257,227
632,138
274,201
1085,120
923,58
741,81
534,17
264,156
606,122
551,186
162,145
1241,138
1764,179
1169,235
150,27
577,94
1960,239
153,32
903,264
1567,244
969,66
537,143
248,40
845,30
201,194
1268,133
407,33
742,23
1339,13
1807,118
1719,5
48,100
590,154
750,143
139,218
1011,184
221,28
648,95
782,95
1379,85
1525,139
275,264
1354,257
247,202
252,280
434,28
816,93
439,143
62,156
714,82
1421,203
1314,77
1897,132
1704,3
694,103
1203,246
1337,209
1638,137
927,82
476,146
233,159
1582,13
393,148
90,110
458,277
1540,16
833,154
1309,83
139,231
564,151
872,267
1725,183
737,42
608,157
48,234
698,87
469,227
1515,80
689,267
501,216
138,164
1943,261
1547,32
96,167
1004,278
957,166
809,39
1843,30
1614,207
1649,201
1313,215
513,162
1005,99
397,216
1491,258
1081,94
140,65
1315,32
561,58
98,68
1471,279
1705,217
1001,101
1,135
524,176
1077,96
1464,276
163,170
182,183
283,235
1098,155
346,291
910,104
1496,164
59,234
1005,112
1808,207
297,291
600,63
1940,97
1021,56
809,173
1392,228
354,7
1493,280
1290,217
1579,91
1276,282
1685,221
1193,284
436,76
945,182
1872,47
554,297
58,130
1081,228
1329,64
1406,284
745,13
1609,118
1065,220
965,282
1479,237
794,171
477,198
1234,177
604,10
1641,43
630,184
1241,72
198,261
1521,126
239,33
10,210
421,10
1078,51
1138,65
357,254
338,12
1350,244
1826,173
1141,70
301,130
796,72
875,136
1832,109
643,244
1722,237
500,195
49,259
439,185
940,238
1941,281
1215,177
1757,231
898,241
543,13
1319,234
1319,5
713,195
658,259
840,7
878,262
1208,137
220,262
1937,283
220,33
1078,293
1441,116
467,139
1446,194
1573,6
315,270
134,195
72,283
1737,114
796,85
400,85
460,136
1451,245
565,152
1441,237
333,31
1427,73
1881,243
764,254
805,255
1925,286
1710,132
1677,184
870,155
997,196
367,29
694,158
1929,176
358,209
1726,76
666,96
1657,242
1860,76
1946,116
817,265
1684,79
261,47
30,114
1279,30
527,166
747,206
833,209
1614,20
1600,122
337,42
106,109
1649,243
1795,68
1399,68
143,176
724,158
1031,86
709,35
57,109
599,163
571,101
309,101
837,220
1253,135
1299,251
1404,38
526,35
1461,20
1614,262
814,209
1020,277
304,107
1515,256
1396,39
307,112
890,204
582,51
1817,69
1459,95
834,43
1503,138
1811,254
1045,226
668,276
115,292
404,166
1290,30
216,115
1644,33
367,284
1979,252
730,107
871,46
1024,288
1910,152
86,5
1285,100
1417,219
1637,259
1279,285
1984,74
258,233
1452,213
84,117
822,46
