ID1,ID2
96,40
35,33
56,1
42,48
55,11
82,29
37,6
68,48
92,15
41,15
77,44
55,50
96,33
15,23
99,29
41,42
4,2
19,48
7,37
75,1
14,24
22,37
24,1
97,49
96,17
13,10
35,19
10,29
78,8
65,38
91,2
56,23
6,34
15,46
21,50
16,8
19,34
63,22
54,19
82,35
14,19
78,22
55,29
53,41
90,5
12,49
47,34
65,33
53,13
57,29
1,39
94,48
58,3
2,47
92,23
78,33
52,14
61,26
4,47
94,50
14,5
71,39
92,16
69,32
1,7
4,40
1,16
87,1
19,31
68,15
90,27
40,8
84,17
72,24
40,35
31,32
86,32
13,48
73,41
64,38
78,46
44,23
9,23
46,8
25,19
57,8
19,42
86,16
86,25
24,41
12,21
81,38
18,34
1,2
87,42
27,30
100,8
24,43
90,43
52,4
98,10
44,9
55,39
30,19
47,35
11,24
93,41
30,37
54,4
48,18
26,15
12,16
10,46
96,15
70,30
83,24
77,38
51,28
2,23
15,8
5,40
46,32
44,32
33,32
35,38
15,44
39,29
78,27
30,5
63,39
83,26
100,42
49,3
33,25
64,3
35,31
99,43
64,21
52,1
93,2
79,40
65,50
61,13
37,22
45,35
19,16
54,47
45,44
19,25
13,24
