name,abbr,impact_factor,acception_rate,company_ID
JSsIAvGDgTaCuboEpPoW,xZKvz,33.9,0.3,8
ztqsKSSDzzyPhHRxPKJC,OOnez,30.37,0.35,14
xDmTlxTPLOPuqISUnkBg,BdsNP,40.53,0.69,8
xkyWJUGcnnamkEQjugny,EZDoI,1.47,0.22,11
sAYeiPDXIyVwpeRRvTle,ekNNS,23.91,0.28,23
SfBNxHlmEAVFWLWqWmMf,kZlvY,35.7,0.9,7
dJlobrPmzYLrCozrrPhS,GQhvN,22.15,0.19,30
FHGKsmsCMiIklDGbrdRH,cvuXF,9.12,0.6,7
DqNsDZEYKPwVsAkNSbAy,bIOgB,36.31,0.26,7
TFCOVPivHaZZsGdjaLjp,UzBIM,39.52,0.57,9
khKUfoWLgAqYzGsINpjx,IVdLU,46.61,0.72,0
RINvNoEGPlliNZeuLjXG,sMjXx,49.96,0.44,7
mndXVJzfNWCiPqDWyziz,rnVcb,18.47,0.81,5
RLNQpJhmEYSDRFfTaQwv,FpMbG,38.29,0.36,27
tRQnhsKEOcgzpeQlXiNa,zcRbX,15.5,0.44,4
sTHGafsGhEQyCxZxcwnJ,nvhTT,5.69,0.98,5
eDIlABSJWhdxdyUOPUad,HfgHB,37.24,0.89,11
wHxSfBnlduioNwhHnEHa,psqXv,4.28,0.16,13
uPLxAZjxdRrjLznOnMsS,TyeMc,8.7,0.57,11
ipTUObmEQIxZDwBxBKNF,DwrAq,38.47,0.6,11
XbaCTkmlPLPKoujgzUDt,CpBSe,20.51,0.19,12
VOVCGAnBwyRmnFTfbUYX,ncirr,37.41,0.13,11
rCREocTcYtlJVOHTfwZJ,qLfum,33.89,0.68,21
STsgfzNSOuIffexbXQky,GtbwC,14.0,0.45,5
vfcynrPDkmzCNFkEQurS,PkEwg,3.3,0.84,27
muCLezEyfEEWWjjSUBaC,QRqly,26.21,0.1,29
KmCzfrgMUSrGrVGGvCTb,WhwkP,34.18,0.32,23
JWAZfOicrEVirnYmQdlx,WgWtZ,10.67,0.69,29
dKkrkrFudZpMPEUyXrXM,HMSvk,14.59,0.22,16
lHfUxwEDptzycCunTrHa,UofRS,19.43,0.1,10
HqNWMnruWIBwoqMQcvGf,CYtdD,14.62,0.56,26
DqWNIXgxytnfXLwHzpoQ,RHrTc,1.92,0.3,4
AqBrixbFawpcHTStRJIf,DyLRN,25.1,0.49,16
OZhzHDonyMhXuXQapEEt,fYiOt,43.8,0.51,5
lmoNZCdXtfJcBUWwDcRt,bVVZC,23.21,0.58,13
wJqlfTHeeeOiWXdjLGAC,PLtpc,23.47,0.61,11
VXgSQymJcWShHRQHaZqi,UGcwh,39.44,0.56,17
xJwyzFaULthWSoHiqCfm,JZIwg,17.49,0.67,24
UwfMQQZkmwkiNlGrtbgz,QRVaE,5.49,0.2,18
CnwFdbpyLgXPsUrJLcPB,wttqQ,22.45,0.75,28
BvRyInVcCpkRbpIWpkYF,qPmuS,40.25,0.95,15
UpCepHPrqZrIoHvCYQVF,pXnbq,0.26,0.77,8
ASVcNPYmOXwvivZXiPAs,nxloX,41.93,0.35,7
WlhHQXEqegcjzXoRVxHe,KEzZH,38.69,0.63,14
bgIJYSySeYKQEctZhlwl,LNxzs,31.53,0.3,30
mZjSPTkapgHMxukvdOgi,vdeuD,30.65,0.38,25
THKnfKOFPsaJnFJkMiEg,yyhaK,37.87,0.24,30
TwRHYIaxYsfEzFFKzzku,MMEwR,14.0,0.1,25
ulJnlxuDRNUzAxJAtFpx,jeFXy,14.66,0.34,14
ggTkgbasEeXrhKOVmydD,gWeAr,0.31,0.83,28
