ID1,ID2
37,296
18,17
44,155
4,119
24,97
47,80
27,251
18,282
19,18
17,94
2,194
49,126
14,168
40,77
26,142
33,38
38,153
36,192
3,15
1,234
22,28
5,204
6,169
38,238
31,113
16,70
27,228
34,124
25,155
18,30
37,129
10,175
8,251
15,110
20,225
39,238
44,24
36,169
1,211
44,289
20,81
32,55
17,192
3,257
43,64
15,2
26,240
5,217
6,182
44,145
16,83
35,96
29,22
5,73
37,142
43,185
49,116
40,296
41,261
15,123
18,128
4,230
45,2
28,178
8,120
45,267
20,94
13,55
3,270
50,202
1,80
47,47
34,114
19,214
18,249
46,88
14,135
7,96
38,120
29,300
50,94
2,17
1,201
40,129
13,32
32,45
43,54
3,18
15,221
21,152
13,297
26,1
34,91
25,122
6,172
45,100
5,27
8,218
28,47
27,231
18,262
5,63
37,132
9,299
50,71
15,113
34,212
44,256
25,14
36,172
9,155
24,54
2,115
36,28
1,299
18,239
39,182
9,276
2,151
49,83
22,129
41,228
6,270
12,201
24,175
33,260
12,57
3,237
29,146
16,27
15,211
47,14
25,112
8,208
40,11
7,63
35,161
1,168
20,38
5,138
10,253
22,227
40,132
1,24
24,273
4,66
43,286
35,282
3,70
9,1
25,125
17,270
24,129
3,106
50,38
33,214
9,122
14,200
46,189
23,56
14,236
1,266
19,171
9,14
47,269
14,92
7,53
11,203
19,27
24,142
10,207
16,138
42,47
41,231
34,192
25,223
11,288
20,28
12,24
3,204
29,113
20,293
33,83
23,298
45,57
43,276
30,157
49,27
15,34
19,184
46,287
11,180
12,145
30,193
46,58
6,214
24,119
27,273
7,66
6,250
34,169
44,213
45,178
39,247
14,190
15,155
46,179
5,141
13,231
44,69
45,34
24,11
26,200
14,46
23,131
14,82
26,285
33,181
19,17
32,136
8,273
33,217
19,282
41,41
39,260
6,83
4,10
3,194
7,164
27,142
33,73
19,138
32,257
24,253
30,147
16,249
17,214
11,170
12,135
4,131
30,3
28,79
27,263
6,60
37,164
38,129
10,210
29,80
21,76
34,15
43,243
36,204
42,135
14,36
40,174
20,116
13,77
9,223
21,197
26,275
26,46
7,298
34,172
40,66
12,233
3,184
22,17
27,132
11,124
37,33
49,7
26,23
37,298
44,157
10,164
35,108
2,160
47,82
48,47
31,223
38,119
27,109
18,140
25,36
45,14
43,233
9,177
47,203
13,67
32,80
16,72
27,230
33,161
18,261
48,24
39,204
50,250
42,246
41,21
6,63
25,13
27,122
18,153
20,83
11,114
24,53
14,268
35,62
15,233
5,219
18,9
36,63
12,200
32,178
37,144
14,160
25,255
45,4
9,167
43,43
35,39
48,158
41,119
13,57
42,200
41,155
22,141
40,275
32,191
17,148
1,203
47,170
33,272
25,268
39,86
12,69
28,13
17,269
28,278
9,36
29,14
15,79
20,194
5,294
40,23
39,207
6,30
21,275
42,69
4,42
36,174
24,20
34,250
32,289
12,82
43,298
35,294
36,259
15,236
7,232
6,7
48,269
13,168
24,177
17,138
25,258
5,163
9,170
21,144
26,222
47,16
46,57
47,281
14,104
41,207
7,65
6,20
50,292
50,63
28,124
5,140
11,71
10,255
40,134
27,164
30,169
16,271
10,111
27,200
15,46
11,192
38,295
18,51
28,281
36,105
47,114
4,189
10,232
20,282
26,176
33,72
37,222
13,14
43,265
2,84
1,268
7,199
47,6
33,108
2,120
29,223
