ID1,ID2,writing_year
493,1479,1976
560,486,1975
118,104,2002
49,270,1973
126,1685,1950
93,1508,1990
991,672,1954
879,202,1997
521,494,1988
183,1667,1982
112,740,1961
819,1356,1950
535,1597,1992
430,83,1994
509,376,1997
989,1767,1997
321,325,1950
185,1218,1970
955,1136,1987
344,982,1977
861,454,1982
745,508,1954
509,268,1972
242,153,1955
249,1095,1982
259,1554,1991
768,1660,2011
765,1914,1980
966,1675,1973
929,36,1957
614,964,1961
886,1386,2017
807,1093,1975
120,163,1998
708,333,1972
759,564,2000
337,1100,1952
49,633,2004
118,238,1991
785,967,1955
752,1958,2003
396,633,1970
590,1401,1952
5,482,2003
572,41,1973
262,1801,1972
587,1103,1999
979,1856,1970
222,416,2003
247,1678,1969
992,105,2012
520,1049,2012
688,108,1973
681,1152,2017
5,832,2010
423,1116,1965
667,1742,1961
391,1807,1996
224,1401,1968
807,1456,1976
514,1914,1957
206,1532,1957
385,1763,2015
169,1879,2004
112,1345,1978
626,1337,2018
192,816,2018
725,1279,1982
517,118,1963
66,182,1983
23,1532,1963
150,590,1987
506,188,1975
829,878,1985
620,475,2012
430,580,1963
872,696,1951
464,1396,1984
987,1400,1958
385,1066,1973
485,1684,2010
418,1694,1957
392,473,1995
743,1979,2016
738,1635,1967
547,118,2016
694,774,2012
420,1703,1971
162,950,1957
611,776,2000
647,470,1968
175,1643,1988
495,830,2016
794,1392,2011
63,1173,1973
386,1826,1969
470,248,2007
664,1053,1995
523,1831,1952
333,1936,2006
216,368,1968
935,55,1967
763,766,2009
959,412,1997
577,81,1962
382,1303,1981
420,1595,2009
559,478,1986
698,1805,2013
593,1523,1950
473,1192,1974
703,1654,2000
513,1530,1952
304,602,1965
435,1839,2007
156,438,1968
278,1367,1954
271,425,1965
30,1790,1976
47,1205,1956
224,838,1958
551,1004,1999
5,1208,1968
404,1479,2001
89,384,1968
904,1536,1971
7,1254,1989
771,1421,1998
495,25,2010
777,943,1964
746,1593,1979
224,730,1986
260,387,1981
798,1002,1975
815,380,1995
954,1249,1952
494,1493,1969
172,1442,1990
514,425,1954
271,667,1986
125,1138,1970
660,250,2007
659,25,2000
271,1606,1990
868,1596,2008
992,1891,1954
114,1622,2010
67,1547,2000
745,442,2014
936,1996,1987
941,88,1982
3,1791,2014
404,674,2008
993,1483,2008
296,323,1961
110,870,1972
601,141,1981
967,1430,1996
728,919,2017
292,1786,1959
349,105,1991
438,1611,1983
942,1373,1957
183,567,1981
938,1897,2013
191,687,1973
282,280,1982
409,92,1973
1,1987,1955
250,1267,1994
547,965,1963
738,267,1994
574,573,2016
696,41,2019
732,1684,2012
353,1099,2007
599,337,1992
917,912,2007
607,1918,1979
634,560,1976
438,685,2004
285,1638,2015
226,277,1992
675,332,2020
126,1056,2002
728,1390,1989
234,626,1956
423,1050,1971
560,796,1966
245,1687,1988
393,390,2009
687,571,1977
981,789,1950
305,277,1996
647,1209,1987
640,230,1982
222,242,1994
559,1096,2016
347,917,1969
290,117,1989
629,108,1969
417,1915,1964
823,388,2011
916,1333,2008
571,1335,1955
509,457,1990
680,1507,1971
769,1027,1955
96,1456,1972
299,58,1966
115,237,1968
146,1802,1985
349,1636,1968
378,876,1953
49,1869,1976
9,521,1962
408,1,2015
635,1212,2016
494,1990,1970
335,654,2018
668,342,1997
150,645,2015
568,1158,1972
301,1043,1998
597,1859,1971
162,1931,1966
439,519,1963
478,181,1957
774,997,1996
894,1328,2003
85,1418,2010
21,1928,1983
613,1574,2009
126,1190,1975
518,748,1993
461,1934,1992
3,302,2016
645,1526,1962
292,176,1973
852,1038,1963
594,248,2011
365,425,1982
263,414,1982
959,346,1952
744,421,1956
147,202,1996
897,1454,1979
979,1227,2020
738,643,2016
249,1647,1981
495,885,2017
631,1749,1988
119,1537,1979
184,242,2009
810,1162,1998
894,1570,1989
221,538,2005
216,194,1995
319,1827,1957
